"ItemCode","AreaCode","Flow","Qty","metaData"
"x021020",222,2,0,""
"x021020",702,2,30,""
"x021020",842,2,1926,""
"x021099",56,2,54567,""
"x021099",124,2,0,""
"x021099",192,2,3,""
"x021099",757,2,0,""
"x021099",818,2,70200,""
"x021099",842,2,6,""
"x030760",124,2,0,""
"x030760",704,2,0,""
"x030760",842,2,14260,""
"x040110",84,2,3142,""
"x040110",192,2,22891,""
"x040110",320,2,1533048,""
"x040110",670,2,0,""
"x040110",842,2,67277,""
"x040120",44,2,10908,""
"x040120",84,2,17809,""
"x040120",192,2,78251,""
"x040120",320,2,1539288,""
"x040120",340,2,52,""
"x040120",842,2,894370,""
"x040120",862,2,3236103,""
"x040130",40,2,0,""
"x040130",84,2,3467,""
"x040130",188,2,0,""
"x040130",192,2,81,""
"x040130",320,2,13158,""
"x040130",340,2,172,""
"x040130",458,2,2,""
"x040130",757,2,0,""
"x040130",764,2,2,""
"x040130",842,2,2571374,""
"x040210",24,2,155,""
"x040210",84,2,722,""
"x040210",124,2,540,""
"x040210",152,2,1,""
"x040210",192,2,5781,""
"x040210",218,2,20000,""
"x040210",320,2,194198,""
"x040210",328,2,0,""
"x040210",340,2,8131,""
"x040210",392,2,78,""
"x040210",422,2,320,""
"x040210",500,2,0,""
"x040210",558,2,58704,""
"x040210",670,2,0,""
"x040210",757,2,0,""
"x040210",764,2,0,""
"x040210",780,2,109402,""
"x040210",842,2,276,""
"x040221",56,2,9047,""
"x040221",84,2,432850,""
"x040221",124,2,17,""
"x040221",188,2,54328,""
"x040221",192,2,43,""
"x040221",222,2,12768,""
"x040221",320,2,169163,""
"x040221",332,2,10906,""
"x040221",340,2,5555,""
"x040221",558,2,395856,""
"x040221",591,2,0,""
"x040221",780,2,137088,""
"x040221",842,2,6893866,""
"x040221",862,2,233000,""
"x040229",84,2,135,""
"x040229",140,2,0,""
"x040229",188,2,0,""
"x040229",192,2,48,""
"x040229",214,2,0,""
"x040229",320,2,100,""
"x040229",340,2,5505,""
"x040229",558,2,0,""
"x040229",842,2,0,""
"x040291",84,2,1293041,""
"x040291",124,2,16404,""
"x040291",152,2,0,""
"x040291",188,2,2190,""
"x040291",192,2,17143,""
"x040291",222,2,41691,""
"x040291",320,2,416921,""
"x040291",340,2,12652,""
"x040291",558,2,9601,""
"x040291",591,2,23786,""
"x040291",702,2,0,""
"x040291",842,2,12458,""
"x040299",24,2,180,""
"x040299",40,2,57,""
"x040299",84,2,1762,""
"x040299",124,2,1498,""
"x040299",152,2,0,""
"x040299",188,2,116249,""
"x040299",192,2,230,""
"x040299",214,2,25888,""
"x040299",222,2,172253,""
"x040299",320,2,696123,""
"x040299",340,2,330442,""
"x040299",410,2,125,""
"x040299",422,2,60,""
"x040299",442,2,0,""
"x040299",558,2,241826,""
"x040299",591,2,526990,""
"x040299",757,2,0,""
"x040299",842,2,15311863,""
"x040299",862,2,20,""
"x040310",84,2,115090,""
"x040310",188,2,1400,""
"x040310",222,2,80384,""
"x040310",320,2,5400966,""
"x040310",591,2,0,""
"x040310",757,2,0,""
"x040310",842,2,130124,""
"x040390",24,2,57,""
"x040390",84,2,2990,""
"x040390",170,2,25920,""
"x040390",192,2,17,""
"x040390",320,2,40,""
"x040390",410,2,20,""
"x040390",842,2,4397226,""
"x040410",124,2,20000,""
"x040410",192,2,31500,""
"x040410",218,2,20000,""
"x040410",392,2,12,""
"x040410",410,2,100,""
"x040410",842,2,1213,""
"x040490",40,2,0,""
"x040490",84,2,0,""
"x040490",124,2,0,""
"x040490",188,2,0,""
"x040490",320,2,0,""
"x040490",616,2,0,""
"x040490",842,2,713,""
"x040510",84,2,1213,""
"x040510",170,2,279,""
"x040510",188,2,286,""
"x040510",214,2,500,""
"x040510",222,2,2357,""
"x040510",320,2,215,""
"x040510",340,2,12,""
"x040510",458,2,4,""
"x040510",591,2,1148,""
"x040510",764,2,4,""
"x040510",842,2,4197,""
"x040520",842,2,6,""
"x040590",31,2,2,""
"x040590",124,2,94880,""
"x040590",214,2,13065,""
"x040590",320,2,0,""
"x040590",558,2,0,""
"x040590",591,2,0,""
"x040590",704,2,206800,""
"x040590",764,2,0,""
"x040610",84,2,62,""
"x040610",152,2,0,""
"x040610",276,2,3,""
"x040610",320,2,121945,""
"x040610",410,2,18115,""
"x040610",458,2,9,""
"x040610",591,2,2,""
"x040610",604,2,5,""
"x040610",764,2,9,""
"x040610",842,2,191759,""
"x040620",84,2,250,""
"x040620",192,2,5,""
"x040620",320,2,0,""
"x040620",388,2,0,""
"x040620",458,2,6,""
"x040620",764,2,6,""
"x040620",842,2,94449,""
"x040630",84,2,6868,""
"x040630",192,2,5,""
"x040630",222,2,74924,""
"x040630",320,2,134870,""
"x040630",340,2,37697,""
"x040630",558,2,36960,""
"x040630",591,2,5,""
"x040630",604,2,8,""
"x040630",842,2,1292,""
"x040690",36,2,576,""
"x040690",48,2,0,""
"x040690",84,2,1210,""
"x040690",124,2,0,""
"x040690",152,2,314021,""
"x040690",192,2,15,""
"x040690",214,2,500,""
"x040690",222,2,11149,""
"x040690",320,2,506244,""
"x040690",392,2,7,""
"x040690",410,2,40,""
"x040690",458,2,15,""
"x040690",480,2,0,""
"x040690",591,2,4,""
"x040690",604,2,0,""
"x040690",616,2,0,""
"x040690",764,2,15,""
"x040690",842,2,2527482,""
"x040700",24,2,1787776,""
"x040700",76,2,1116,""
"x040700",152,2,5106,""
"x040700",170,2,4582,""
"x040700",178,2,127814,""
"x040700",192,2,2729,""
"x040700",218,2,1287,""
"x040700",226,2,221238,""
"x040700",251,2,3385,""
"x040700",270,2,19895,""
"x040700",320,2,0,""
"x040700",344,2,1176252,""
"x040700",372,2,0,""
"x040700",376,2,14577,""
"x040700",410,2,40,""
"x040700",430,2,1846153,""
"x040700",558,2,20,""
"x040700",624,2,183944,""
"x040700",634,2,68699,""
"x040700",694,2,240857,""
"x040700",764,2,1366,""
"x040700",784,2,1507265,""
"x040700",842,2,1800,""
"x040811",276,2,31200,""
"x040811",392,2,10824,""
"x040811",616,2,0,""
"x040811",842,2,0,""
"x040819",192,2,0,""
"x040819",842,2,0,""
"x040891",203,2,0,""
"x040891",276,2,64800,""
"x040891",392,2,118824,""
"x040891",842,2,0,""
"x040891",862,2,1,""
"x040899",188,2,104448,""
"x040899",842,2,0,""
"x040900",24,2,26,""
"x040900",40,2,20060,""
"x040900",56,2,821722,""
"x040900",124,2,0,""
"x040900",156,2,124228,""
"x040900",192,2,200,""
"x040900",203,2,0,""
"x040900",233,2,0,""
"x040900",251,2,484200,""
"x040900",276,2,14595874,""
"x040900",304,2,0,""
"x040900",320,2,20000,""
"x040900",340,2,946,""
"x040900",352,2,0,""
"x040900",381,2,80684,""
"x040900",384,2,0,""
"x040900",392,2,365892,""
"x040900",410,2,0,""
"x040900",442,2,0,""
"x040900",528,2,36000,""
"x040900",562,2,0,""
"x040900",616,2,63385,""
"x040900",682,2,1728959,""
"x040900",699,2,0,""
"x040900",705,2,0,""
"x040900",724,2,96000,""
"x040900",757,2,2551400,""
"x040900",764,2,0,""
"x040900",804,2,167040,""
"x040900",826,2,2672092,""
"x040900",842,2,2997815,""
"x040900",862,2,60180,""
"x040900",887,2,0,""
"x041000",222,2,0,""
"x041000",320,2,0,""
"x041000",826,2,0,""
"x041000",842,2,0,""
"x050100",528,2,6000,""
"x050400",56,2,0,""
"x050400",344,2,61636,""
"x050400",381,2,3859,""
"x050400",392,2,2699434,""
"x050400",410,2,169969,""
"x050400",591,2,0,""
"x050400",643,2,19,""
"x050400",818,2,43200,""
"x050400",842,2,92705,""
"x050590",124,2,0,""
"x050590",348,2,5,""
"x050590",842,2,5720,""
"x050690",188,2,0,""
"x050690",344,2,800,""
"x050690",392,2,763219,""
"x050690",410,2,2101627,""
"x050690",704,2,24670,""
"x050690",757,2,123,""
"x050690",842,2,11444,""
"x050790",124,2,0,""
"x050790",222,2,2,""
"x050790",724,2,0,""
"x050790",842,2,0,""
"x050800",76,2,3147,""
"x050800",124,2,0,""
"x050800",156,2,2000,""
"x050800",191,2,0,""
"x050800",203,2,0,""
"x050800",222,2,0,""
"x050800",276,2,2019,""
"x050800",344,2,32828,""
"x050800",381,2,0,""
"x050800",410,2,20009,""
"x050800",528,2,4445,""
"x050800",608,2,93972,""
"x050800",699,2,99005,""
"x050800",702,2,0,""
"x050800",724,2,156,""
"x050800",764,2,0,""
"x050800",784,2,2295,""
"x050800",842,2,367513,""
"x051000",32,2,0,""
"x051000",76,2,42141,""
"x051000",344,2,1,""
"x051000",392,2,0,""
"x051000",554,2,21506,""
"x051000",842,2,51250,""
"x051110",340,2,120,""
"x051191",124,2,0,""
"x051191",156,2,748,""
"x051191",344,2,107618,""
"x051191",360,2,26550,""
"x051191",392,2,1031940,""
"x051191",490,2,468610,""
"x051191",540,2,0,""
"x051191",704,2,0,""
"x051191",764,2,0,""
"x051191",842,2,3948279,""
"x051199",40,2,0,""
"x051199",56,2,0,""
"x051199",124,2,0,""
"x051199",152,2,0,""
"x051199",156,2,0,""
"x051199",188,2,0,""
"x051199",258,2,0,""
"x051199",276,2,0,""
"x051199",392,2,0,""
"x051199",442,2,0,""
"x051199",490,2,0,""
"x051199",528,2,0,""
"x051199",702,2,0,""
"x051199",724,2,0,""
"x051199",842,2,0,""
"x060110",124,2,326,""
"x060110",203,2,0,""
"x060110",251,2,0,""
"x060110",398,2,0,""
"x060110",528,2,6,""
"x060110",616,2,0,""
"x060110",703,2,0,""
"x060110",757,2,0,""
"x060110",804,2,0,""
"x060110",842,2,37654,""
"x060120",124,2,406,""
"x060120",643,2,0,""
"x060120",804,2,0,""
"x060120",842,2,8700,""
"x060120",842,2,0,""
"x060210",36,2,58,""
"x060210",124,2,83163,""
"x060210",170,2,14,""
"x060210",208,2,7,""
"x060210",276,2,129,""
"x060210",320,2,5,""
"x060210",381,2,4,""
"x060210",392,2,46,""
"x060210",404,2,1232,""
"x060210",410,2,1093,""
"x060210",528,2,5058,""
"x060210",604,2,390,""
"x060210",604,2,0,""
"x060210",724,2,101,""
"x060210",764,2,4,""
"x060210",826,2,572,""
"x060210",842,2,497856,""
"x060220",320,2,18000,""
"x060220",620,2,14300,""
"x060220",724,2,320,""
"x060220",842,2,11,""
"x060220",842,2,0,""
"x060290",36,2,0,""
"x060290",56,2,2,""
"x060290",124,2,0,""
"x060290",170,2,0,""
"x060290",188,2,513,""
"x060290",203,2,0,""
"x060290",276,2,54091,""
"x060290",320,2,85987,""
"x060290",340,2,172,""
"x060290",348,2,17000,""
"x060290",360,2,18000,""
"x060290",381,2,47180,""
"x060290",392,2,1400,""
"x060290",410,2,0,""
"x060290",498,2,0,""
"x060290",528,2,19397,""
"x060290",558,2,208,""
"x060290",591,2,4588,""
"x060290",620,2,0,""
"x060290",643,2,26,""
"x060290",699,2,0,""
"x060290",703,2,0,""
"x060290",724,2,28000,""
"x060290",804,2,14,""
"x060290",807,2,0,""
"x060290",826,2,547,""
"x060290",842,2,0,""
"x060290",842,2,277497,""
"x060311",124,2,2565,""
"x060311",842,2,1617967,""
"x060312",124,2,559,""
"x060312",528,2,21,""
"x060312",842,2,612701,""
"x060313",699,2,0,""
"x060313",842,2,73,""
"x060314",124,2,0,""
"x060314",842,2,126561,""
"x060319",70,2,0,""
"x060319",124,2,279352,""
"x060319",203,2,0,""
"x060319",233,2,0,""
"x060319",276,2,408,""
"x060319",422,2,0,""
"x060319",499,2,0,""
"x060319",528,2,1274,""
"x060319",616,2,0,""
"x060319",643,2,0,""
"x060319",699,2,0,""
"x060319",724,2,191,""
"x060319",804,2,0,""
"x060319",842,2,16631715,""
"x060390",40,2,20,""
"x060390",124,2,0,""
"x060390",188,2,143,""
"x060390",192,2,15,""
"x060390",214,2,0,""
"x060390",340,2,9,""
"x060390",381,2,4550,""
"x060390",528,2,0,""
"x060390",826,2,414,""
"x060390",842,2,3058277,""
"x060410",56,2,5958,""
"x060410",124,2,0,""
"x060410",203,2,0,""
"x060410",222,2,6,""
"x060410",276,2,20759,""
"x060410",340,2,0,""
"x060410",352,2,0,""
"x060410",392,2,3700,""
"x060410",528,2,49803,""
"x060410",591,2,600,""
"x060410",616,2,0,""
"x060410",724,2,4005,""
"x060410",842,2,1957435,""
"x060491",56,2,122430,""
"x060491",70,2,0,""
"x060491",112,2,0,""
"x060491",124,2,2418,""
"x060491",156,2,3153,""
"x060491",191,2,0,""
"x060491",203,2,0,""
"x060491",233,2,0,""
"x060491",251,2,0,""
"x060491",276,2,902587,""
"x060491",320,2,0,""
"x060491",352,2,0,""
"x060491",381,2,23705,""
"x060491",392,2,49385,""
"x060491",398,2,0,""
"x060491",400,2,0,""
"x060491",422,2,0,""
"x060491",498,2,0,""
"x060491",499,2,0,""
"x060491",528,2,2229376,""
"x060491",579,2,0,""
"x060491",616,2,0,""
"x060491",643,2,0,""
"x060491",702,2,0,""
"x060491",703,2,0,""
"x060491",705,2,0,""
"x060491",724,2,57947,""
"x060491",757,2,8416,""
"x060491",804,2,0,""
"x060491",842,2,1642673,""
"x060499",40,2,0,""
"x060499",40,2,1,""
"x060499",51,2,0,""
"x060499",124,2,0,""
"x060499",152,2,871,""
"x060499",188,2,0,""
"x060499",192,2,5,""
"x060499",214,2,481,""
"x060499",218,2,150,""
"x060499",251,2,0,""
"x060499",276,2,1110,""
"x060499",320,2,2000,""
"x060499",340,2,0,""
"x060499",381,2,4,""
"x060499",410,2,0,""
"x060499",422,2,0,""
"x060499",528,2,4667,""
"x060499",531,2,87,""
"x060499",705,2,0,""
"x060499",724,2,0,""
"x060499",757,2,230,""
"x060499",826,2,41,""
"x060499",842,2,214043,""
"x070110",276,2,0,""
"x070110",524,2,0,""
"x070110",842,2,122336,""
"x070190",60,2,0,""
"x070190",84,2,1348315,""
"x070190",124,2,0,""
"x070190",214,2,0,""
"x070190",222,2,51600,""
"x070190",320,2,0,""
"x070190",340,2,0,""
"x070190",724,2,0,""
"x070190",842,2,40,""
"x070200",84,2,0,""
"x070200",124,2,130663791,""
"x070200",188,2,7760,""
"x070200",214,2,0,""
"x070200",222,2,5344884,""
"x070200",276,2,0,""
"x070200",320,2,0,""
"x070200",340,2,0,""
"x070200",392,2,121914,""
"x070200",422,2,0,""
"x070200",670,2,0,""
"x070200",724,2,0,""
"x070200",826,2,184,""
"x070200",842,2,1357177402,""
"x070310",32,2,26412,""
"x070310",40,2,0,""
"x070310",70,2,0,""
"x070310",84,2,395373,""
"x070310",112,2,0,""
"x070310",124,2,567342,""
"x070310",170,2,855210,""
"x070310",188,2,110808,""
"x070310",191,2,0,""
"x070310",203,2,0,""
"x070310",222,2,4583910,""
"x070310",233,2,0,""
"x070310",251,2,251689,""
"x070310",276,2,50523,""
"x070310",320,2,21862920,""
"x070310",352,2,0,""
"x070310",372,2,0,""
"x070310",381,2,2828235,""
"x070310",398,2,0,""
"x070310",498,2,0,""
"x070310",528,2,1957552,""
"x070310",579,2,0,""
"x070310",616,2,5,""
"x070310",643,2,0,""
"x070310",670,2,0,""
"x070310",686,2,0,""
"x070310",688,2,0,""
"x070310",703,2,0,""
"x070310",705,2,0,""
"x070310",724,2,540349,""
"x070310",757,2,0,""
"x070310",804,2,0,""
"x070310",826,2,0,""
"x070310",842,2,336104355,""
"x070320",36,2,983781,""
"x070320",40,2,0,""
"x070320",48,2,0,""
"x070320",70,2,0,""
"x070320",76,2,1067000,""
"x070320",84,2,2774,""
"x070320",124,2,254982,""
"x070320",191,2,0,""
"x070320",203,2,0,""
"x070320",208,2,6540,""
"x070320",214,2,64800,""
"x070320",222,2,220,""
"x070320",233,2,0,""
"x070320",251,2,1096752,""
"x070320",276,2,30,""
"x070320",320,2,0,""
"x070320",372,2,0,""
"x070320",381,2,303200,""
"x070320",392,2,1000,""
"x070320",528,2,748000,""
"x070320",579,2,0,""
"x070320",616,2,756308,""
"x070320",703,2,0,""
"x070320",705,2,0,""
"x070320",710,2,22000,""
"x070320",826,2,107920,""
"x070320",842,2,7110867,""
"x070390",40,2,0,""
"x070390",84,2,0,""
"x070390",124,2,30920,""
"x070390",214,2,0,""
"x070390",251,2,0,""
"x070390",276,2,0,""
"x070390",643,2,0,""
"x070390",670,2,0,""
"x070390",842,2,8800900,""
"x070410",84,2,110319,""
"x070410",124,2,4775210,""
"x070410",188,2,40322,""
"x070410",214,2,0,""
"x070410",222,2,4908,""
"x070410",320,2,0,""
"x070410",340,2,0,""
"x070410",392,2,69734,""
"x070410",558,2,14710,""
"x070410",842,2,142704969,""
"x070420",84,2,227242,""
"x070420",124,2,0,""
"x070420",214,2,0,""
"x070420",670,2,0,""
"x070420",842,2,23237235,""
"x070490",84,2,2956,""
"x070490",124,2,2178264,""
"x070490",188,2,1050,""
"x070490",392,2,0,""
"x070490",686,2,0,""
"x070490",842,2,69506269,""
"x070511",84,2,107569,""
"x070511",124,2,904948,""
"x070511",188,2,159372,""
"x070511",222,2,14007,""
"x070511",320,2,60732,""
"x070511",558,2,92025,""
"x070511",591,2,36000,""
"x070511",842,2,49853110,""
"x070519",124,2,357043,""
"x070519",188,2,8841,""
"x070519",214,2,0,""
"x070519",222,2,211108,""
"x070519",320,2,12600,""
"x070519",372,2,0,""
"x070519",392,2,0,""
"x070519",558,2,5040,""
"x070519",591,2,0,""
"x070519",705,2,0,""
"x070519",842,2,54563393,""
"x070521",56,2,76360,""
"x070521",124,2,0,""
"x070521",222,2,538,""
"x070521",251,2,91632,""
"x070521",579,2,0,""
"x070521",842,2,9330,""
"x070529",124,2,0,""
"x070529",392,2,0,""
"x070529",842,2,106586,""
"x070610",84,2,473521,""
"x070610",124,2,1041856,""
"x070610",188,2,14000,""
"x070610",214,2,0,""
"x070610",222,2,180,""
"x070610",251,2,0,""
"x070610",258,2,0,""
"x070610",320,2,514,""
"x070610",352,2,0,""
"x070610",670,2,0,""
"x070610",842,2,76760255,""
"x070690",84,2,12358,""
"x070690",124,2,2010730,""
"x070690",276,2,0,""
"x070690",392,2,1987445,""
"x070690",807,2,0,""
"x070690",842,2,44983301,""
"x070700",124,2,850463,""
"x070700",188,2,5040,""
"x070700",222,2,2744,""
"x070700",670,2,0,""
"x070700",842,2,496172248,""
"x070810",124,2,233530,""
"x070810",192,2,36500,""
"x070810",251,2,0,""
"x070810",340,2,0,""
"x070810",826,2,0,""
"x070810",842,2,11500488,""
"x070820",124,2,49492,""
"x070820",192,2,55500,""
"x070820",320,2,0,""
"x070820",392,2,0,""
"x070820",528,2,0,""
"x070820",616,2,360,""
"x070820",724,2,519,""
"x070820",842,2,33414589,""
"x070890",24,2,249000,""
"x070890",124,2,3054968,""
"x070890",192,2,8000,""
"x070890",251,2,45867,""
"x070890",320,2,257,""
"x070890",332,2,384000,""
"x070890",670,2,0,""
"x070890",705,2,0,""
"x070890",724,2,59634,""
"x070890",826,2,2100,""
"x070890",842,2,26452301,""
"x070920",36,2,0,""
"x070920",40,2,0,""
"x070920",56,2,38180,""
"x070920",70,2,0,""
"x070920",84,2,15,""
"x070920",112,2,0,""
"x070920",124,2,43592,""
"x070920",191,2,0,""
"x070920",203,2,0,""
"x070920",214,2,0,""
"x070920",233,2,0,""
"x070920",251,2,0,""
"x070920",258,2,0,""
"x070920",276,2,0,""
"x070920",344,2,0,""
"x070920",352,2,0,""
"x070920",372,2,0,""
"x070920",381,2,62450,""
"x070920",392,2,6518,""
"x070920",400,2,0,""
"x070920",410,2,399,""
"x070920",422,2,0,""
"x070920",442,2,0,""
"x070920",446,2,0,""
"x070920",490,2,0,""
"x070920",498,2,0,""
"x070920",528,2,3390,""
"x070920",579,2,0,""
"x070920",616,2,0,""
"x070920",643,2,0,""
"x070920",688,2,0,""
"x070920",699,2,0,""
"x070920",703,2,0,""
"x070920",705,2,0,""
"x070920",724,2,339331,""
"x070920",757,2,0,""
"x070920",792,2,0,""
"x070920",804,2,0,""
"x070920",807,2,0,""
"x070920",826,2,599,""
"x070920",842,2,85678295,""
"x070930",124,2,69665,""
"x070930",670,2,0,""
"x070930",842,2,48596423,""
"x070940",84,2,40460,""
"x070940",124,2,170817,""
"x070940",214,2,0,""
"x070940",842,2,44738401,""
"x070951",84,2,5960,""
"x070951",124,2,0,""
"x070951",188,2,9226,""
"x070951",251,2,40,""
"x070951",320,2,195866,""
"x070951",352,2,0,""
"x070951",392,2,14624,""
"x070951",528,2,12056,""
"x070951",842,2,3154063,""
"x070959",124,2,0,""
"x070959",214,2,0,""
"x070959",251,2,0,""
"x070959",392,2,2853,""
"x070960",40,2,0,""
"x070960",48,2,0,""
"x070960",70,2,0,""
"x070960",84,2,0,""
"x070960",124,2,6410418,""
"x070960",188,2,4517,""
"x070960",208,2,3423,""
"x070960",218,2,19093,""
"x070960",222,2,15669,""
"x070960",233,2,0,""
"x070960",251,2,47,""
"x070960",276,2,44,""
"x070960",320,2,0,""
"x070960",340,2,0,""
"x070960",392,2,120,""
"x070960",458,2,0,""
"x070960",528,2,648,""
"x070960",558,2,0,""
"x070960",579,2,0,""
"x070960",616,2,0,""
"x070960",643,2,0,""
"x070960",670,2,0,""
"x070960",699,2,0,""
"x070960",702,2,50,""
"x070960",703,2,0,""
"x070960",724,2,826,""
"x070960",757,2,0,""
"x070960",826,2,296,""
"x070960",842,2,693201490,""
"x070970",124,2,387204,""
"x070970",214,2,0,""
"x070970",222,2,180,""
"x070970",276,2,0,""
"x070970",320,2,257,""
"x070970",842,2,6166442,""
"x070990",40,2,0,""
"x070990",48,2,0,""
"x070990",56,2,3869,""
"x070990",68,2,0,""
"x070990",84,2,41780,""
"x070990",124,2,7045640,""
"x070990",188,2,0,""
"x070990",192,2,1,""
"x070990",203,2,0,""
"x070990",214,2,0,""
"x070990",251,2,56231,""
"x070990",258,2,0,""
"x070990",276,2,36,""
"x070990",352,2,0,""
"x070990",372,2,0,""
"x070990",381,2,208491,""
"x070990",388,2,0,""
"x070990",392,2,8160963,""
"x070990",400,2,0,""
"x070990",446,2,0,""
"x070990",499,2,0,""
"x070990",528,2,1696,""
"x070990",643,2,0,""
"x070990",670,2,0,""
"x070990",705,2,0,""
"x070990",724,2,10000,""
"x070990",826,2,3631,""
"x070990",842,2,571434747,""
"x071010",48,2,0,""
"x071010",842,2,3248,""
"x071021",124,2,550,""
"x071021",222,2,0,""
